,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,blue_first_blood,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed,red_first_blood,red_first_blodd
0,NA1_4506172470,100,15,0,9,0,4,0,18891,7.2,55,203,1,12,1,2,0,3,0,15489,7.0,68,228,0,
1,NA1_4505454734,200,42,2,3,0,6,0,17006,7.4,60,241,1,14,14,6,0,0,0,16068,7.2,68,176,0,
2,NA1_4505421266,200,10,0,7,0,4,0,17420,7.0,56,213,0,13,1,5,2,2,0,17114,7.0,76,229,0,1.0
3,NA1_4505389807,100,15,2,6,1,3,0,17831,7.0,80,242,0,17,1,6,0,1,0,16078,7.0,54,183,0,1.0
4,NA1_4505349339,200,25,4,10,0,3,0,18796,7.0,64,230,1,29,4,7,1,3,0,18439,6.8,56,211,0,
5,NA1_4504741112,100,16,2,6,0,1,0,16780,7.0,68,214,1,12,4,3,2,1,0,15773,7.6,56,221,0,
6,NA1_4504709885,100,16,2,14,2,3,0,19657,7.2,60,185,1,14,3,7,0,2,0,17633,6.8,56,183,0,
7,NA1_4504683761,100,16,1,11,2,5,0,18663,7.2,64,202,1,10,4,7,0,2,0,17070,6.8,52,209,0,
8,NA1_4504655843,200,12,9,12,1,3,0,19803,6.8,44,192,0,31,1,18,0,3,0,22270,7.2,51,203,0,1.0
9,NA1_4504627176,100,19,7,12,1,2,0,20335,7.0,59,256,0,19,5,8,1,2,0,19110,6.8,57,225,0,1.0
10,NA1_4485645219,100,39,2,1,0,0,0,14030,6.8,56,211,0,36,7,5,1,3,0,16398,7.4,48,255,0,1.0
11,NA1_4485611474,100,48,3,8,1,1,0,17051,7.2,64,195,0,40,1,3,0,4,0,15960,6.8,60,227,0,1.0
12,NA1_4485554626,100,10,4,4,0,1,0,16434,7.2,48,252,1,16,1,4,0,0,0,16837,7.4,72,263,0,
13,NA1_4485510802,100,10,1,5,0,0,0,15516,6.6,60,174,0,12,3,10,0,7,0,18903,7.0,40,224,0,1.0
14,NA1_4481483833,200,15,1,8,0,1,0,17493,6.8,38,181,1,11,2,8,1,3,0,18257,6.6,45,203,0,
15,NA1_4481151981,100,47,2,4,0,0,0,15471,6.4,62,187,0,14,2,6,0,4,0,16592,6.6,44,227,0,1.0
16,NA1_4479064602,200,13,4,9,1,3,0,18623,7.0,51,204,0,15,3,11,1,2,0,18806,7.0,44,202,0,1.0
17,NA1_4479009080,200,14,1,1,0,4,0,14395,6.8,56,185,0,13,1,6,1,2,0,16262,6.8,60,207,0,1.0
18,NA1_4479022371,100,17,2,9,0,3,0,18142,7.0,44,212,0,11,2,7,2,2,0,17025,7.0,68,204,0,1.0
19,NA1_4477119087,100,13,1,8,0,2,0,18439,6.8,64,209,1,16,3,4,0,1,0,14592,6.6,52,184,0,
20,NA1_4490537704,100,11,2,5,1,1,0,15373,6.4,52,215,0,10,1,4,1,0,0,16110,6.8,72,205,0,1.0
21,NA1_4490528098,200,12,3,6,1,0,0,15354,6.4,56,160,0,14,2,9,1,6,1,19786,7.2,59,212,0,1.0
22,NA1_4490513797,100,17,1,7,1,5,1,18631,6.8,41,243,1,12,1,1,1,1,0,14958,6.6,77,222,0,
23,NA1_4490487696,100,12,0,9,1,3,0,18678,7.2,60,189,0,14,2,9,0,5,0,18737,7.0,56,214,0,1.0
24,NA1_4490469695,100,13,3,5,2,1,0,16791,6.8,56,211,0,19,4,4,0,3,0,16802,6.6,60,228,0,1.0
25,NA1_4489544926,200,101,2,7,0,0,0,17082,6.8,69,203,0,18,1,7,0,2,0,17866,6.8,56,217,0,1.0
26,NA1_4489528068,100,24,3,10,0,2,0,17905,7.2,70,235,1,17,3,5,1,2,0,15678,6.6,52,204,0,
27,NA1_4489504691,100,37,3,14,1,1,0,19136,7.2,40,175,1,265,2,7,0,3,0,17090,6.6,48,217,0,
